year,age,qx,lx,dx,Lx,Tx,ex,sex
1910,99,0.32165,1790,576,1503,4166,2.33,F
1910,100,0.34031,1215,413,1008,2663,2.19,F
1910,101,0.35969,801,288,657,1655,2.07,F
1910,102,0.37992,513,195,416,998,1.95,F
1910,103,0.40106,318,128,254,582,1.83,F
1910,104,0.42317,191,81,150,328,1.72,F
1910,105,0.44633,110,49,85,178,1.62,F
1910,106,0.47062,61,29,47,92,1.52,F
1910,107,0.49612,32,16,24,46,1.42,F
1910,108,0.5229,16,8,12,22,1.33,F
1910,109,0.55105,8,4,6,10,1.25,F
1910,110,0.58064,3,2,2,4,1.17,F
1910,111,0.61177,1,1,1,2,1.09,F
1910,112,0.64453,1,0,0,1,1.01,F
1910,113,0.67903,0,0,0,0,0.94,F
1910,114,0.71533,0,0,0,0,0.87,F
1910,115,0.75357,0,0,0,0,0.81,F
1910,116,0.78679,0,0,0,0,0.76,F
1910,117,0.82118,0,0,0,0,0.71,F
1910,118,0.85707,0,0,0,0,0.66,F
1910,119,0.89447,0,0,0,0,0.61,F
1910,0,0.12006,100000,12006,91343,5619187,56.19,M
1910,1,0.02284,87994,2010,86989,5527844,62.82,M
1910,2,0.01104,85984,949,85510,5440855,63.28,M
1910,3,0.00833,85035,709,84681,5355346,62.98,M
1910,4,0.0058,84327,489,84082,5270665,62.5,M
1910,5,0.0041,83838,343,83666,5186582,61.86,M
1910,6,0.00353,83495,295,83347,5102916,61.12,M
1910,7,0.00283,83200,235,83082,5019569,60.33,M
1910,8,0.00355,82965,294,82818,4936487,59.5,M
1910,9,0.00235,82670,194,82573,4853669,58.71,M
1910,10,0.00216,82476,178,82387,4771096,57.85,M
1910,11,0.00214,82298,176,82210,4688708,56.97,M
1910,12,0.00194,82122,159,82043,4606498,56.09,M
1910,13,0.00218,81963,179,81874,4524456,55.2,M
1910,14,0.00233,81784,190,81689,4442582,54.32,M
1910,15,0.00261,81594,213,81488,4360892,53.45,M
1910,16,0.00284,81381,231,81266,4279405,52.58,M
1910,17,0.003,81150,243,81028,4198139,51.73,M
1910,18,0.00352,80907,285,80764,4117111,50.89,M
1910,19,0.0037,80622,298,80472,4036347,50.07,M
1910,20,0.00374,80323,300,80173,3955874,49.25,M
1910,21,0.00381,80023,304,79871,3875701,48.43,M
1910,22,0.00356,79719,284,79577,3795830,47.62,M
1910,23,0.00359,79434,285,79292,3716254,46.78,M
1910,24,0.00374,79149,296,79002,3636962,45.95,M
1910,25,0.00379,78854,299,78704,3557960,45.12,M
1910,26,0.00396,78555,311,78399,3479256,44.29,M
1910,27,0.00385,78244,301,78093,3400857,43.47,M
1910,28,0.00341,77943,265,77810,3322764,42.63,M
1910,29,0.00331,77677,257,77549,3244954,41.77,M
1910,30,0.0034,77420,263,77289,3167405,40.91,M
1910,31,0.00345,77157,266,77024,3090117,40.05,M
1910,32,0.00353,76891,272,76755,3013093,39.19,M
1910,33,0.00358,76619,275,76482,2936338,38.32,M
1910,34,0.00375,76345,286,76202,2859855,37.46,M
1910,35,0.00411,76059,313,75903,2783653,36.6,M
1910,36,0.00372,75746,282,75606,2707751,35.75,M
1910,37,0.00381,75465,287,75321,2632145,34.88,M
1910,38,0.00399,75177,300,75027,2556824,34.01,M
1910,39,0.00415,74877,310,74722,2481797,33.14,M
1910,40,0.00436,74567,325,74405,2407075,32.28,M
1910,41,0.00486,74242,361,74062,2332670,31.42,M
1910,42,0.00519,73881,383,73689,2258609,30.57,M
1910,43,0.00559,73498,411,73292,2184919,29.73,M
1910,44,0.00567,73087,415,72880,2111627,28.89,M
1910,45,0.00617,72673,448,72448,2038747,28.05,M
1910,46,0.00681,72224,492,71978,1966299,27.22,M
1910,47,0.0075,71733,538,71464,1894320,26.41,M
1910,48,0.00817,71195,582,70904,1822857,25.6,M
1910,49,0.00913,70613,645,70291,1751953,24.81,M
1910,50,0.01033,69968,723,69607,1681662,24.03,M
1910,51,0.01104,69246,764,68864,1612055,23.28,M
1910,52,0.01228,68482,841,68061,1543191,22.53,M
1910,53,0.01335,67641,903,67189,1475130,21.81,M
1910,54,0.01412,66738,942,66267,1407940,21.1,M
1910,55,0.0152,65796,1000,65296,1341674,20.39,M
1910,56,0.01676,64796,1086,64253,1276378,19.7,M
1910,57,0.01804,63710,1149,63135,1212125,19.03,M
1910,58,0.02036,62560,1274,61924,1148990,18.37,M
1910,59,0.02185,61287,1339,60617,1087067,17.74,M
1910,60,0.02348,59948,1407,59244,1026450,17.12,M
1910,61,0.02473,58541,1448,57817,967205,16.52,M
1910,62,0.02704,57093,1544,56321,909389,15.93,M
1910,63,0.02852,55550,1584,54757,853067,15.36,M
